FECHA,COD_DIA VISITA,DIA VISITA,COD SEMANAL,SEMANAL,COD QUINCENAL,QUINCENAL ,COD MENSUAL,MENSUAL
4/5/2023,005,Jueves,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
5/5/2023,006,Viernes,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
6/5/2023,007,Sabado,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
7/5/2023,001,Domingo,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
8/5/2023,002,Lunes,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
9/5/2023,003,Martes,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
10/5/2023,004,Miercoles,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
11/5/2023,005,Jueves,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
12/5/2023,006,Viernes,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
13/05/2023,007,Sabado,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
14/05/2023,001,Domingo,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
15/05/2023,002,Lunes,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
16/05/2023,003,Martes,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
17/05/2023,004,Miercoles,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
18/05/2023,005,Jueves,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
19/05/2023,006,Viernes,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
20/05/2023,007,Sabado,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
21/05/2023,001,Domingo,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
22/05/2023,002,Lunes,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
23/05/2023,003,Martes,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
24/05/2023,004,Miercoles,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
25/05/2023,005,Jueves,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
26/05/2023,006,Viernes,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
