FECHA,COD_DIA VISITA,DIA VISITA,COD SEMANAL,SEMANAL,COD QUINCENAL,QUINCENAL ,COD MENSUAL,MENSUAL
19/12/2023,003,Martes,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
20/12/2023,004,Miercoles,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
21/12/2023,005,Jueves,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
22/12/2023,006,Viernes,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
23/12/2023,007,Sabado,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
24/12/2023,001,Domingo,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
25/12/2023,002,Lunes,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
26/12/2023,003,Martes,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
27/12/2023,004,Miércoles,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
28/12/2023,005,Jueves,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
29/12/2023,006,Viernes,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
30/12/2023,007,Sabado,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
31/12/2023,001,Domingo,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
